BackendTime,servoVoltage,system_status,system_time
1697124451313.623,0.0,1025,1999580
1697124451899.4827,0.0,1025,2000085
1697124452324.6743,0.0,1025,2000581
1697124452844.9502,0.0,1025,2001082
1697124453333.6003,0.0,1025,2001589
1697124453831.4226,0.0,1025,2002090
1697124454352.038,0.0,1025,2002598
1697124454917.339,0.0,1025,2003115
1697124455352.6006,0.0,1025,2003609
1697124455864.8525,0.0,1025,2004114
1697124456363.8103,0.0,1025,2004617
1697124456867.8303,0.0,1025,2005126
1697124457405.0796,0.0,1025,2005630
1697124457876.889,0.0,1025,2006130
1697124458378.4165,0.0,1025,2006631
1697124458885.2532,0.0,1025,2007133
1697124459407.0676,0.0,1025,2007650
1697124459896.9976,0.0,1025,2008146
1697124460393.1619,0.0,1025,2008648
1697124460898.0103,0.0,1025,2009151
1697124461398.053,0.0,1025,2009653
1697124461907.7688,0.0,1025,2010157
1697124462403.2517,0.0,1025,2010660
1697124462951.4211,0.0,1025,2011164
1697124463434.2126,0.0,1025,2011695
1697124463961.732,0.0,1025,2012194
1697124464409.68,0.0,1025,2012677
1697124464916.8574,0.0,1025,2013180
1697124465416.7803,0.0,1025,2013681
1697124473476.124,0.0,1025,2021738
1697124473971.4316,0.0,1025,2022241
1697124474476.0002,0.0,1025,2022741
1697124475001.829,0.0,1025,2023263
1697124475492.282,0.0,1025,2023750
1697124475994.6648,0.0,1025,2024257
1697124476483.7705,0.0,1025,2024756
1697124477012.0198,0.0,1025,2025265
1697124477515.7888,0.0,1025,2025769
1697124478008.6316,0.0,1025,2026271
1697124478504.284,0.0,1025,2026769
1697124479013.1743,0.0,1025,2027276
1697124479520.5542,0.0,1025,2027780
1697124480018.4915,0.0,1025,2028281
1697124480523.6357,0.0,1025,2028786
1697124481024.798,0.0,1025,2029288
1697124481566.4453,0.0,1025,2029803
1697124482030.3403,0.0,1025,2030295
1697124482525.7634,0.0,1025,2030794
1697124483037.9626,0.0,1025,2031306
1697124483548.0662,0.0,1025,2031807
1697124484055.2883,0.0,1025,2032312
1697124484560.5476,0.0,1025,2032818
1697124485061.49,0.0,1025,2033325
1697124485630.8403,0.0,1025,2033874
1697124486072.2402,0.0,1025,2034329
1697124486589.2598,0.0,1025,2034833
1697124487074.1177,0.0,1025,2035336
1697124487579.3813,0.0,1025,2035842
1697124488082.812,0.0,1025,2036347
1697124488582.452,0.0,1025,2036849
1697124489088.5671,0.0,1025,2037351
1697124489590.0845,0.0,1025,2037856
1697124490089.2893,0.0,1025,2038356
1697124490593.3992,0.0,1025,2038858
1697124491097.7908,0.0,1025,2039363
1697124491602.5403,0.0,1025,2039868
1697124492112.307,0.0,1025,2040374
1697124492617.461,0.0,1025,2040881
1697124493120.6965,0.0,1025,2041385
1697124493633.9617,0.0,1025,2041890
1697124494127.2363,0.0,1025,2042393
1697124494636.298,0.0,1025,2042898
1697124495140.7917,0.0,1025,2043402
1697124495637.9392,0.0,1025,2043904
1697124496145.1028,0.0,1025,2044410
1697124496653.8213,0.0,1025,2044915
1697124497152.522,0.0,1025,2045415
1697124497665.0725,0.0,1025,2045920
1697124498163.0256,0.0,1025,2046425
1697124498657.3213,0.0,1025,2046924
1697124499176.1326,0.0,1025,2047431
1697124499679.4688,0.0,1025,2047932
1697124500172.618,0.0,1025,2048434
1697124500678.4263,0.0,1025,2048938
1697124501180.3936,0.0,1025,2049441
1697124501699.4224,0.0,1025,2049946
1697124502186.803,0.0,1025,2050448
1697124502703.8171,0.0,1025,2050952
1697124503192.5432,0.0,1025,2051455
1697124503728.7568,0.0,1025,2051959
1697124504194.3564,0.0,1025,2052461
1697124504729.121,0.0,1025,2052970
1697124505257.484,0.0,1025,2053506
1697124505722.8088,0.0,1025,2053983
1697124506224.4888,0.0,1025,2054484
1697124506739.1128,0.0,1025,2054996
1697124507228.7166,0.0,1025,2055495
1697124507731.7332,0.0,1025,2055999
1697124508234.0303,0.0,1025,2056501
1697124508739.386,0.0,1025,2057006
1697124509244.2004,0.0,1025,2057509
1697124509751.1738,0.0,1025,2058010
1697124510304.3044,0.0,1025,2058516
1697124510766.5847,0.0,1025,2059019
1697124511267.7842,0.0,1025,2059521
1697124511805.313,0.0,1025,2060050
1697124512273.6938,0.0,1025,2060545
1697124512789.0913,0.0,1025,2061053
1697124513285.531,0.0,1025,2061553
1697124513793.2004,0.0,1025,2062065
1697124514319.1367,0.0,1025,2062571
1697124514802.4387,0.0,1025,2063066
1697124515295.5764,0.0,1025,2063569
1697124515809.0076,0.0,1025,2064072
1697124516304.026,0.0,1025,2064576
1697124516811.0264,0.0,1025,2065081
1697124517323.2803,0.0,1025,2065589
1697124517819.8936,0.0,1025,2066090
1697124518328.2402,0.0,1025,2066599
1697124518826.873,0.0,1025,2067097
1697124519331.8853,0.0,1025,2067601
1697124519838.5195,0.0,1025,2068102
1697124520333.2178,0.0,1025,2068603
1697124520844.284,0.0,1025,2069106
1697124521341.244,0.0,1025,2069612
1697124521880.21,0.0,1025,2070127
1697124522348.1863,0.0,1025,2070619
1697124522859.9268,0.0,1025,2071125
1697124523391.0457,0.0,1025,2071630
1697124523866.5132,0.0,1025,2072136
1697124524370.0352,0.0,1025,2072637
1697124524925.7524,0.0,1025,2073152
1697124525380.7468,0.0,1025,2073653
1697124525893.464,0.0,1025,2074160
1697124526416.7349,0.0,1025,2074686
1697124526909.7957,0.0,1025,2075175
1697124527409.1953,0.0,1025,2075675
1697124527914.4858,0.0,1025,2076181
1697124528426.633,0.0,1025,2076686
1697124528928.6382,0.0,1025,2077190
1697124529419.6572,0.0,1025,2077690
